city,date,time,temperature,description,precip_chance,precip_amount
Mumbai,2025-06-29,Now,28 °C,Passing clouds.,N/A,N/A
Mumbai,2025-06-29,01.00,27 °C,A few showers. Overcast.,19%,0.5 mm
Mumbai,2025-06-29,02.00,27 °C,A few showers. Overcast.,18%,0.4 mm
Mumbai,2025-06-29,03.00,27 °C,Isolated tstorms. Overcast.,19%,0.5 mm
Mumbai,2025-06-29,04.00,27 °C,A few tstorms. Overcast.,22%,0.6 mm
Mumbai,2025-06-29,05.00,27 °C,A few tstorms. Overcast.,30%,0.7 mm
Mumbai,2025-06-29,06.00,27 °C,A few tstorms. Overcast.,36%,0.7 mm
Mumbai,2025-06-29,07.00,27 °C,A few tstorms. Overcast.,40%,0.7 mm
Mumbai,2025-06-29,08.00,27 °C,A few tstorms. Overcast.,42%,0.7 mm
Mumbai,2025-06-29,09.00,28 °C,Light showers. Overcast.,43%,0.8 mm
Mumbai,2025-06-29,10.00,28 °C,Thunderstorms. Overcast.,45%,1.0 mm
Mumbai,2025-06-29,11.00,29 °C,Thunderstorms. Overcast.,47%,1.1 mm
Bangalore,2025-06-29,Now,22 °C,Passing clouds.,N/A,N/A
Bangalore,2025-06-29,01.00,21 °C,Passing showers. Overcast.,21%,0.1 mm
Bangalore,2025-06-29,02.00,21 °C,Overcast.,9%,0.0 mm
Bangalore,2025-06-29,03.00,21 °C,Overcast.,10%,0.0 mm
Bangalore,2025-06-29,04.00,21 °C,Overcast.,10%,0.0 mm
Bangalore,2025-06-29,05.00,20 °C,Overcast.,10%,0.0 mm
Bangalore,2025-06-29,06.00,20 °C,Overcast.,10%,0.0 mm
Bangalore,2025-06-29,07.00,21 °C,Overcast.,10%,0.0 mm
Bangalore,2025-06-29,08.00,22 °C,Overcast.,0%,0.0 mm
Bangalore,2025-06-29,09.00,24 °C,Overcast.,0%,0.0 mm
Bangalore,2025-06-29,10.00,25 °C,Overcast.,0%,0.0 mm
Bangalore,2025-06-29,11.00,26 °C,Overcast.,0%,0.0 mm
Pune,2025-06-29,Now,25 °C,Passing clouds.,N/A,N/A
Pune,2025-06-29,01.00,23 °C,Passing showers. Overcast.,19%,0.3 mm
Pune,2025-06-29,02.00,23 °C,Passing showers. Overcast.,25%,0.3 mm
Pune,2025-06-29,03.00,23 °C,Passing showers. Overcast.,28%,0.3 mm
Pune,2025-06-29,04.00,22 °C,Passing showers. Overcast.,30%,0.2 mm
Pune,2025-06-29,05.00,22 °C,Passing showers. Cloudy.,31%,0.2 mm
Pune,2025-06-29,06.00,22 °C,Passing showers. Cloudy.,33%,0.2 mm
Pune,2025-06-29,07.00,23 °C,Passing showers. Mostly cloudy.,38%,0.1 mm
Pune,2025-06-29,08.00,24 °C,Passing showers. Broken clouds.,37%,0.1 mm
Pune,2025-06-29,09.00,25 °C,Passing showers. Broken clouds.,34%,0.1 mm
Pune,2025-06-29,10.00,26 °C,Passing showers. Mostly cloudy.,33%,0.1 mm
Pune,2025-06-29,11.00,26 °C,Passing showers. Cloudy.,33%,0.1 mm
Delhi,2025-06-29,Now,28 °C,Fog.,N/A,N/A
Delhi,2025-06-29,01.00,30 °C,Passing showers. Overcast.,18%,0.1 mm
Delhi,2025-06-29,02.00,30 °C,Passing showers. Overcast.,21%,0.1 mm
Delhi,2025-06-29,03.00,30 °C,Passing showers. Cloudy.,22%,0.1 mm
Delhi,2025-06-29,04.00,30 °C,Passing showers. Mostly cloudy.,22%,0.1 mm
Delhi,2025-06-29,05.00,30 °C,Passing showers. Mostly cloudy.,22%,0.1 mm
Delhi,2025-06-29,06.00,30 °C,Passing showers. Mostly cloudy.,24%,0.1 mm
Delhi,2025-06-29,07.00,31 °C,Passing showers. Cloudy.,28%,0.2 mm
Delhi,2025-06-29,08.00,32 °C,Passing showers. Overcast.,34%,0.2 mm
Delhi,2025-06-29,09.00,33 °C,Passing showers. Overcast.,39%,0.2 mm
Delhi,2025-06-29,10.00,34 °C,Passing showers. Overcast.,41%,0.2 mm
Delhi,2025-06-29,11.00,35 °C,Passing showers. Overcast.,41%,0.1 mm
Amritsar,2025-06-29,Now,31 °C,Fog.,N/A,N/A
Amritsar,2025-06-29,01.00,29 °C,Light showers. Broken clouds.,24%,0.7 mm
Amritsar,2025-06-29,02.00,28 °C,Light showers. Mostly cloudy.,28%,1.0 mm
Amritsar,2025-06-29,03.00,28 °C,Thunderstorms. Mostly cloudy.,37%,1.9 mm
Amritsar,2025-06-29,04.00,28 °C,Thunderstorms. Mostly cloudy.,44%,3.3 mm
Amritsar,2025-06-29,05.00,27 °C,Thundershowers. Mostly cloudy.,47%,3.9 mm
Amritsar,2025-06-29,06.00,27 °C,Thunderstorms. Cloudy.,45%,3.4 mm
Amritsar,2025-06-29,07.00,28 °C,Thunderstorms. Cloudy.,40%,2.5 mm
Amritsar,2025-06-29,08.00,29 °C,Thunderstorms. Overcast.,36%,1.8 mm
Amritsar,2025-06-29,09.00,29 °C,Thunderstorms. Overcast.,36%,1.5 mm
Amritsar,2025-06-29,10.00,30 °C,Thunderstorms. Overcast.,38%,1.3 mm
Amritsar,2025-06-29,11.00,30 °C,A few tstorms. Overcast.,42%,1.0 mm
Ludhiana,2025-06-29,Now,28 °C,Light rain. Overcast.,N/A,N/A
Ludhiana,2025-06-29,01.00,29 °C,Thundershowers. Mostly cloudy.,55%,0.2 mm
Ludhiana,2025-06-29,02.00,28 °C,Isolated tstorms. Mostly cloudy.,55%,0.2 mm
Ludhiana,2025-06-29,03.00,28 °C,Isolated tstorms. Mostly cloudy.,54%,0.3 mm
Ludhiana,2025-06-29,04.00,28 °C,A few tstorms. Cloudy.,55%,0.5 mm
Ludhiana,2025-06-29,05.00,28 °C,A few tstorms. Cloudy.,55%,0.6 mm
Ludhiana,2025-06-29,06.00,28 °C,Thundershowers. Mostly cloudy.,50%,0.9 mm
Ludhiana,2025-06-29,07.00,28 °C,Thundershowers. Mostly cloudy.,43%,1.2 mm
Ludhiana,2025-06-29,08.00,29 °C,Thundershowers. Mostly cloudy.,36%,1.3 mm
Ludhiana,2025-06-29,09.00,29 °C,Thunderstorms. Mostly cloudy.,33%,1.3 mm
Ludhiana,2025-06-29,10.00,30 °C,Thunderstorms. Cloudy.,34%,1.3 mm
Ludhiana,2025-06-29,11.00,30 °C,Thunderstorms. Overcast.,36%,1.2 mm
