Brand,Model,Price,OS,Launch Date
OnePlus,Nord CE 2 Lite 5G (CPH2381),"₹19,999","OxygenOS 12.1 (based on Android 12), upgradable to Android 13",April 2022
OnePlus,OnePlus Nord CE 3 Lite (CPH2467),"₹19,999","Android 13, OxygenOS 13.1",June 2023
OnePlus,OnePlus CPH2487,"₹32,999",Android 13,April 2023
OnePlus,Nord CE 2 5G (IV2201),"₹23,999 (Starting Price)","OxygenOS 11 (based on Android 11), upgradable to Android 12","February 17, 2022"
OnePlus,Nord 2T (CPH2401),"₹28,999 (Starting Price)",Android 12 (OxygenOS 12.1),"July 5, 2022"
OnePlus,Nord 2 5G (DN2101),"₹27,999","OxygenOS 11.3 (based on Android 11), upgradable to Android 13","July 22, 2021"
realme,realme C55 (RMX3710),"₹10,999 (Starting Price)","Android 13, Realme UI 4.0","March 21, 2023"
realme,C11 2021 (RMX3231),"₹7,499",Android 11,June 2021
realme,realme 8 (RMX3085),"₹14,999",Android 11,"April 21, 2021"
OnePlus,OnePlus 10R (CPH2423),"₹34,999",Android 12 (upgradable),"May 4, 2022"
OnePlus,Nord (AC2001),"₹27,999",Android 10,"August 4, 2020"
OnePlus,Nord CE 5G (EB2101),"₹22,999",Android 11 (upgradable),June 2021
